id,name
1,UNICREDIT BANK d.d. MOSTAR
2,INTESA SANPAOLO BANKA d.d. BiH
3,VOLKSBANK BH d.d. SARAJEVO
4,UNICREDIT BANK a.d. BANJA LUKA
5,MOJA BANKA d.d. SARAJEVO
6,SPARKASSE BANK d.d. SARAJEVO
7,PROCREDIT BANK d.d. SARAJEVO
8,NOVA BANKA a.d. BANJA LUKA
9,NLB RAZVOJNA BANKA a.d. BANJALUKA
10,SBERBANK a.d. Banja Luka
11,TURKISH ZIRAAT BANK BOSNIA d.d. SARAJEVO
12,VAKUFSKA BANKA d.d. SARAJEVO
13,UNION BANKA d.d. SARAJEVO
14,NLB BANKA d.d. TUZLA
15,RAIFFEISEN BANK d.d. BiH
16,BOSNA BANK INTERNATIONAL dd SARAJEVO
17,HYPO ALPE-ADRIA-BANK d.d. MOSTAR
18,PRIVREDNA BANKA SARAJEVO d.d. SARAJEVO
19,BOR BANKA d.d. SARAJEVO
20,KOMERCIJALNA BANKA a.d. BANJA LUKA
21,BALKAN INVESTMENT BANK a.d. BANJA LUKA
22,BOBAR BANKA a.d. BIJELJINA
23,POSTBANK BH d.d. SARAJEVO
24,HYPO ALPE-ADRIA-BANK a.d. BANJA LUKA
25,PAVLOVIC INTERNATIONAL BANK a.d. BIJELJINA
26,RAZVOJNA BANKA F BIH SARAJEVO
27,INVESTICIONO-KOMERCIJALNA BANKA d.d. ZENICA
28,KIB BANKA dd V.KLADUSA
29,MF BANKA a.d. BANJA LUKA
30,NLBRAZVOJNA BANKA a.d. BANJALUKA
31,BRČKONOVA BANKA a.d. BANJA LUKA
32,BRČKO
33,WINNER VL
